R (kpc),n(H) (cm^-3),rho (g/cm^3),,,,m_H (g),1.67E-24,,Fig 6,https://arxiv.org/pdf/1604.05794
0,269,4.49E-22,,,,,,,,
0.085171113,361.9111932,6.04E-22,,,,,,,,
0.370284774,440.2149629,7.35E-22,,,,,,,,
0.60025853,340.7197467,5.69E-22,,,,,,,,
0.752767441,282.7799939,4.72E-22,,,,,,,,
0.806024521,234.9896173,3.92E-22,,,,,,,,
0.854440049,175.4943574,2.93E-22,,,,,,,,
0.902855576,124.1487396,2.07E-22,,,,,,,,
0.951271103,87.21586693,1.46E-22,,,,,,,,
0.994845078,63.14617286,1.05E-22,,,,,,,,
1.048102158,50.313394,8.40E-23,,,,,,,,
1.108621568,40.85726048,6.82E-23,,,,,,,,
1.205452623,31.11182362,5.20E-23,,,,,,,,
1.290179796,24.76061274,4.14E-23,,,,,,,,
1.374906969,19.85226512,3.32E-23,,,,,,,,
1.471738023,15.48181361,2.59E-23,,,,,,,,
1.629088488,11.64266401,1.94E-23,,,,,,,,
1.798542834,10.03688885,1.68E-23,,,,,,,,
1.90747777,8.009194516,1.34E-23,,,,,,,,
2.07894943,6.35445861,1.06E-23,,,,,,,,
2.355321399,6.49484883,1.08E-23,,,,,,,,
2.6216068,7.178703408,1.20E-23,,,,,,,,
2.863684437,8.153590884,1.36E-23,,,,,,,,
2.936307728,10.16893212,1.70E-23,,,,,,,,
3.057346547,12.46615036,2.08E-23,,,,,,,,
3.214697011,15.73327669,2.63E-23,,,,,,,,
3.396255239,19.37681805,3.24E-23,,,,,,,,
3.614125113,23.09431393,3.86E-23,,,,,,,,
3.880410514,24.44433461,4.08E-23,,,,,,,,
4.146695914,21.94958159,3.67E-23,,,,,,,,
4.412981315,20.9156533,3.49E-23,,,,,,,,
4.679266716,21.25162918,3.55E-23,,,,,,,,
4.872928826,18.04736282,3.01E-23,,,,,,,,
5.002770468,13.73596127,2.29E-23,,,,,,,,
5.137013521,10.60127617,1.77E-23,,,,,,,,
5.294143915,8.369600474,1.40E-23,,,,,,,,
5.55074621,8.237429738,1.38E-23,,,,,,,,
5.671785029,9.786176886,1.63E-23,,,,,,,,
5.9678646,12.37647665,2.07E-23,,,,,,,,
6.204355831,12.10013463,2.02E-23,,,,,,,,
6.688511105,7.647514991,1.28E-23,,,,,,,,
6.951072235,8.719955605,1.46E-23,,,,,,,,
7.136354734,10.70541895,1.79E-23,,,,,,,,
7.390536253,10.99398696,1.84E-23,,,,,,,,
7.571976967,9.545537731,1.59E-23,,,,,,,,
7.705237181,8.005892627,1.34E-23,,,,,,,,
7.886795409,6.21369608,1.04E-23,,,,,,,,
7.942473266,5.229643072,8.73E-24,,,,,,,,
8.092561401,4.390611699,7.33E-24,,,,,,,,
8.213600219,3.47356142,5.80E-24,,,,,,,,
8.334639038,2.758282765,4.61E-24,,,,,,,,
8.419366211,2.379216724,3.97E-24,,,,,,,,
8.500865682,1.907857853,3.19E-24,,,,,,,,
8.759619779,1.576870857,2.63E-24,,,,,,,,
8.93680716,1.46033712,2.44E-24,,,,,,,,
9.181910768,1.309724069,2.19E-24,,,,,,,,
9.448196169,1.078075191,1.80E-24,,,,,,,,
9.722550825,1.06553765,1.78E-24,,,,,,,,
9.956559207,1.251080855,2.09E-24,,,,,,,,
10.19863684,1.578648831,2.64E-24,,,,,,,,
10.46492225,1.870145888,3.12E-24,,,,,,,,
10.73120765,2.03071969,3.39E-24,,,,,,,,
10.9611814,2.127674655,3.55E-24,,,,,,,,
